,abstract,bands,circle,figure,gestural,grid,landscape,portrait,rectangle,repetition,shape,square,still_life,symmetry,label,range_Blue,stdev_Blue,skew_Blue,range_Green,stdev_Green,skew_Green,range_Red,stdev_Red,skew_Red,range_Hue,stdev_Hue,skew_Hue,range_Saturation,stdev_Saturation,skew_Saturation,range_Value,stdev_Value,skew_Value
1959.035,0.92,11.76,0.12,0.07,0.21,0.17,0.0,0.06,78.51,0.68,0.2,6.45,0.11,0.74,rectangle,13.0,2.20794,3.2748937606811523,17.0,2.2963967,3.899345636367798,13.0,2.1883926,3.2901976108551025,23.0,2.6619425,4.769854545593262,20.0,2.5571592,4.580926895141602,19.0,2.6294606,4.391246795654297
1959.039,0.1,2.83,0.04,0.02,0.02,0.04,0.0,0.01,37.77,0.24,0.31,58.37,0.01,0.24,square,11.0,1.5885332,2.921966791152954,8.0,1.4710753,2.217857599258423,8.0,1.4973936,2.5322747230529785,29.0,2.501562,7.263251781463623,30.0,2.6413183,7.140700340270996,29.0,2.535683,6.989065647125244
1959.040,0.0,0.0,99.85,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,circle,29.0,3.8365023,5.6999406814575195,40.0,4.160829,6.8225908279418945,35.0,4.0009766,6.069620132446289,25.0,2.930177,5.438450336456299,31.0,3.3119104,6.416882038116455,29.0,3.0220544,5.908021926879883
1959.041,5.76,1.16,0.82,0.02,0.1,2.07,0.0,0.01,85.47,0.47,0.38,0.82,0.31,2.6,rectangle,22.0,3.453938,4.724398612976074,27.0,3.6228442,5.437716484069824,27.0,3.585997,5.144809246063232,28.0,2.8408296,6.336432933807373,17.0,2.538762,4.114030838012695,17.0,2.5109136,4.297595977783203
1960.001,0.95,0.42,1.82,0.03,0.13,0.17,0.0,0.02,94.57,0.11,1.13,0.3,0.28,0.06,rectangle,19.0,2.8449516,4.3849263191223145,23.0,2.8899071,4.635257720947266,16.0,2.6413183,4.030932903289795,35.0,3.4921787,7.26392126083374,42.0,3.8588374,8.071917533874512,34.0,3.4865813,6.756900310516357
1960.003,0.0,0.0,99.93,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,circle,11.0,2.336865,3.2962067127227783,15.0,2.402798,3.6168086528778076,15.0,2.3568385,3.6338281631469727,10.0,1.6793786,3.0544044971466064,10.0,1.6747202,2.9926421642303467,10.0,1.6417407,2.972719669342041
1960.006,0.0,0.0,99.93,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,circle,12.0,1.9645292,2.956792116165161,12.0,1.9324532,3.01879620552063,10.0,1.9744462,2.6939902305603027,28.0,2.771225,6.1107025146484375,26.0,2.727178,6.087186336517334,28.0,2.9020467,6.279715061187744
1960.008,0.05,0.05,0.0,0.0,0.0,99.09,0.0,0.0,0.11,0.69,0.0,0.0,0.0,0.0,grid,16.0,2.1286733,3.7420103549957275,13.0,2.1758618,3.2887845039367676,9.0,1.9202864,2.853123188018799,10.0,1.7432907,3.345547676086426,13.0,1.8049412,3.420865297317505,12.0,1.6955825,3.1299362182617188
1960.009,0.01,6.98,0.0,0.0,0.02,4.68,0.05,0.0,0.03,14.57,0.0,73.41,0.0,0.24,square,7.0,1.3607213,2.1605255603790283,7.0,1.3020416,2.0412819385528564,8.0,1.3721561,2.3065433502197266,43.0,3.1061933,10.570562362670898,30.0,2.6619425,7.673703193664551,37.0,2.8763583,9.344273567199707
1960.010,0.99,10.79,0.0,0.0,0.03,14.19,0.0,0.0,0.1,73.29,0.42,0.16,0.01,0.01,repetition,16.0,2.3634589,3.6069278717041016,18.0,2.8709211,4.2281293869018555,16.0,2.8145826,4.0001935958862305,24.0,2.810416,5.113185405731201,32.0,3.470861,6.275986194610596,34.0,3.5619516,6.041894435882568
1960.011,0.0,0.83,0.0,0.0,0.0,34.15,0.0,0.0,0.0,58.18,0.0,6.76,0.0,0.08,repetition,8.0,1.438858,2.3387255668640137,10.0,1.5129648,2.8981587886810303,7.0,1.3834965,2.1440796852111816,26.0,2.452677,6.836155891418457,20.0,2.323454,5.851891040802002,17.0,1.9243505,5.3626508712768555
1960.012,0.0,0.07,0.0,0.0,0.0,0.48,0.0,0.0,0.0,43.45,0.01,55.99,0.0,0.0,square,11.0,1.9080422,2.9910666942596436,13.0,2.1414802,3.5243260860443115,12.0,2.0501525,3.4801111221313477,8.0,1.377838,2.3990886211395264,11.0,1.4252193,3.084545612335205,10.0,1.4737283,2.961948871612549
1960.013,0.34,1.75,0.83,0.08,0.0,0.26,0.01,0.02,94.01,0.44,1.62,0.56,0.06,0.01,rectangle,15.0,2.6911314,3.9320695400238037,16.0,2.6501768,3.814990758895874,18.0,2.6413183,4.151762008666992,32.0,2.9540756,7.179056644439697,18.0,2.3930237,4.260765075683594,25.0,2.4748738,5.6635541915893555
1960.014,0.0,0.43,0.27,0.01,0.07,5.64,0.3,0.01,6.56,0.95,0.05,12.36,0.01,73.34,symmetry,24.0,3.168448,5.233939170837402,27.0,3.4083996,5.299864292144775,25.0,3.112475,4.939021587371826,39.0,3.6816692,7.739293098449707,34.0,3.423266,6.961188793182373,33.0,3.5564642,7.389002323150635
1960.015,0.0,2.78,0.0,0.0,0.0,86.2,0.0,0.0,0.0,10.62,0.0,0.05,0.0,0.35,grid,10.0,1.9385078,2.880401134490967,10.0,1.8307273,2.751208782196045,10.0,1.9505608,2.996295213699341,13.0,1.8434851,3.5717580318450928,16.0,1.9121323,4.277678489685059,8.0,1.4361407,2.484562873840332
1960.016,0.0,0.18,0.03,0.02,0.02,0.07,0.58,0.05,0.38,95.84,1.84,0.9,0.0,0.08,repetition,16.0,2.5279686,4.228247165679932,14.0,2.3782873,3.576904535293579,13.0,2.291288,3.442776679992676,20.0,2.368412,4.84351921081543,23.0,2.4222279,5.0971832275390625,21.0,2.181241,4.833534240722656
1960.017,0.0,0.03,0.0,0.0,0.0,0.14,0.0,0.0,0.03,98.97,0.0,0.79,0.0,0.03,repetition,9.0,1.6863422,2.614736557006836,10.0,1.7566837,2.770251512527466,9.0,1.4737283,2.420084238052368,10.0,1.7809758,3.0515456199645996,10.0,1.5512092,2.7314260005950928,11.0,1.548689,3.00821852684021
1960.018,0.01,50.59,0.0,0.0,0.0,2.42,0.0,0.0,0.0,46.81,0.0,0.01,0.0,0.14,bands,23.0,3.1074507,4.563882350921631,26.0,3.0935922,5.1592488288879395,23.0,2.9421506,4.669464111328125,19.0,2.5464437,4.349794387817383,15.0,2.414151,3.820469379425049,15.0,2.3766441,3.6397602558135986
